,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
164,1595404982928462,164400968940,69,19569,24774
165,1595404983929379,164401969857,-482,19038,24774
166,1595404984930618,164402971096,358,19734,24792
167,1595404985931332,164403971810,822,20305,24801
168,1595404986932447,164404972925,-861,18869,24988
169,1595404987933534,164405974012,383,19854,24934
170,1595404988934569,164406975047,-728,18858,24988
171,1595404989935707,164407976185,649,20017,24934
172,1595404990936727,164408977205,233,19796,25024
173,1595404991937828,164409978306,-874,18758,25024
174,1595404992938925,164410979403,-267,19103,25024
175,1595404993939771,164411980250,154,19444,24961
176,1595404994940591,164412981070,844,20180,24961
177,1595404995941808,164413982286,-112,19478,24977
178,1595404996942930,164414983408,-147,19409,24977
179,1595404997943453,164415983931,-305,19207,24936
180,1595404998944541,164416985019,170,19590,24936
181,1595404999945610,164417986089,-224,19247,24917
182,1595405000946621,164418987099,-218,19186,24917
183,1595405001947811,164419988289,983,20322,24716
184,1595405002949036,164420989514,112,19746,24716
185,1595405003949729,164421990206,-1079,18588,24917
186,1595405004950889,164422991367,3,19347,24917
187,1595405005951920,164423992398,628,19972,25018
188,1595405006952991,164424993469,-361,19172,25018
189,1595405007954114,164425994592,-462,18963,25060
190,1595405008955210,164426995688,332,19618,25018
191,1595405009956163,164427996641,239,19625,24912
192,1595405010956967,164428997445,-165,19292,24912
193,1595405011957915,164429998394,-32,19376,24769
194,1595405012958470,164430998949,518,19916,24769
195,1595405013959570,164432000048,-165,19389,24821
196,1595405014960667,164433001146,574,20078,24759
197,1595405015961933,164434002411,-419,19257,24759
198,1595405016962964,164435003443,192,19743,24759
199,1595405017964023,164436004501,-1048,18560,24759
200,1595405018964898,164437005377,-292,19002,24759
201,1595405019965552,164438006031,840,20046,24740
202,1595405020967121,164439007599,423,19881,24740
203,1595405021967794,164440008272,-717,18868,24740
204,1595405022968546,164441009024,-220,19150,24811
205,1595405023969729,164442010207,870,20174,24740
206,1595405024970700,164443011178,-274,19291,24816
207,1595405025971494,164444011972,-705,18778,24836
208,1595405026972517,164445012996,487,19758,24700
209,1595405027973426,164446013904,-133,19284,24700
210,1595405028974516,164447014994,75,19452,24700
211,1595405029975798,164448016277,63,19463,24700
212,1595405030977222,164449017701,1020,20439,24727
213,1595405031977952,164450018430,-181,19544,24836
214,1595405032979414,164451019892,-1264,18407,24836
215,1595405033980504,164452020982,9,19300,24728
216,1595405034981579,164453022057,263,19557,24728
217,1595405035982663,164454023141,975,20348,24673
218,1595405036983879,164455024357,-508,19157,24673
219,1595405037984936,164456025415,-642,18871,24673
220,1595405038986059,164457026537,-41,19279,24655
221,1595405039987106,164458027585,-31,19277,24655
222,1595405040988118,164459028596,1004,20303,24590
223,1595405041989197,164460029676,200,19800,24644
224,1595405042990494,164461030972,-1158,18502,24911
